"pAge","pGender","pIMDquintile","state","pCohort","pEducationalLevel","pSEP","pRegion","pSocialHousing","pMentalHealthCondition","pAlcoholConsumption","pNRTUse","pYearsSinceQuit","pExpenditure","pECigUse","pVareniclineUse","pCigConsumptionPrequit","cAge","oAge","mAge","mGender","oEducationalLevel","oSEP","oGeographicLocality","oSocialHousing","cMentalHealthConditions","cAlcoholConsumption","oAlcoholConsumption","cPrescriptionNRT","mUseOfNRT","cEcigaretteUse","cCigConsumptionPrequit","mSpendingOnCig","cVareniclineUse","cCigAddictStrength","mEnjoymentOfSmoking","cUseOfBehaviourSupport","mIntentionToQuit","mDesireToStopSmoking","mNumberOfRecentQuitAttempts","mSmokerIdentity"
75,2,5,"never_smoker",7,7,3,1,1,0,10,NA,NA,9,1,2,0.714285714285714,75,75,75,2,7,3,1,1,0,10,10,NA,NA,1,0,9,2,6,NA,"1",2,2,6,2
72,1,1,"never_smoker",8,4,3,8,1,NA,5,NA,NA,27,2,2,12,72,72,72,1,4,3,8,1,NA,5,5,NA,NA,2,12,27,2,1,NA,"0",1,2,52,-1
66,1,1,"smoker",9,3,1,8,1,0,9,NA,NA,105,1,1,1,66,66,66,1,3,1,8,1,0,9,9,NA,NA,2,1,105,1,5,NA,"0",2,1,0,1
66,2,3,"smoker",9,7,3,8,2,0,4,NA,NA,22,1,1,20,66,66,66,2,7,3,8,2,0,4,4,NA,NA,2,20,22,1,4,NA,"0",2,1,20,-1
62,2,1,"never_smoker",10,4,3,8,2,0,10,NA,NA,4,2,2,7.85714285714286,62,62,62,2,4,3,8,2,0,10,10,NA,NA,1,7,4,2,6,NA,"0",2,1,10,1
64,1,1,"never_smoker",9,4,3,8,2,NA,9,NA,NA,48,2,1,21.4285714285714,64,64,64,1,4,3,8,2,NA,9,9,NA,NA,2,21,48,1,4,NA,"1",2,2,10,2
78,1,1,"never_smoker",7,1,1,8,1,NA,5,NA,NA,2,2,2,100,78,78,78,1,1,1,8,1,NA,5,5,NA,NA,1,100,2,2,4,NA,"0",2,2,3,1
57,1,1,"never_smoker",11,1,1,8,1,NA,5,NA,NA,120,1,2,1.42857142857143,57,57,57,1,1,1,8,1,NA,5,5,NA,NA,2,1,120,2,3,NA,"1",2,1,52,1
39,1,2,"smoker",15,7,3,8,4,0,NA,NA,NA,9,2,1,13.3333333333333,39,39,39,1,7,3,8,4,0,NA,NA,NA,NA,1,13,9,1,5,NA,"0",1,1,20,2
37,2,4,"never_smoker",15,2,2,8,4,0,1,NA,NA,9,1,2,45,37,37,37,2,2,2,8,4,0,1,1,NA,NA,1,45,9,2,2,NA,"0",2,1,20,1
55,2,4,"smoker",11,2,2,8,2,NA,10,NA,NA,110,2,1,7.14285714285714,55,55,55,2,2,2,8,2,NA,10,10,NA,NA,1,7,110,1,6,NA,"0",2,1,5,-1
38,1,1,"never_smoker",15,4,1,8,2,NA,6,NA,NA,13,2,2,8,38,38,38,1,4,1,8,2,NA,6,6,NA,NA,2,8,13,2,4,NA,"0",1,2,4,1
65,2,5,"never_smoker",9,7,2,2,4,0,4,NA,NA,4,2,1,3.42857142857143,65,65,65,2,7,2,2,4,0,4,4,NA,NA,2,3,4,1,5,NA,"0",1,2,3,-1
79,1,5,"never_smoker",7,1,1,2,1,NA,10,NA,NA,20,2,2,11,79,79,79,1,1,1,2,1,NA,10,10,NA,NA,2,11,20,2,4,NA,"1",2,2,52,2
34,2,5,"smoker",15,7,3,2,4,NA,8,NA,NA,84,2,1,35,34,34,34,2,7,3,2,4,NA,8,8,NA,NA,2,35,84,1,2,NA,"1",1,1,3,1
18,2,5,"never_smoker",19,3,3,2,4,NA,10,NA,NA,55,1,2,14,18,18,18,2,3,3,2,4,NA,10,10,NA,NA,2,14,55,2,1,NA,"0",1,2,10,-1
34,2,5,"never_smoker",15,4,3,2,4,NA,9,NA,NA,22,2,1,23,34,34,34,2,4,3,2,4,NA,9,9,NA,NA,1,23,22,1,2,NA,"0",1,2,8,1
28,2,5,"smoker",17,4,3,2,4,1,4,NA,NA,49,1,1,24,28,28,28,2,4,3,2,4,1,4,4,NA,NA,2,24,49,1,3,NA,"1",2,1,3,1
82,2,2,"never_smoker",6,6,3,4,1,0,4,NA,NA,40,1,1,35,82,82,82,2,6,3,4,1,0,4,4,NA,NA,2,35,40,1,6,NA,"1",2,2,52,2
74,2,2,"never_smoker",7,2,3,4,1,0,4,NA,NA,28,2,2,2.28571428571429,74,74,74,2,2,3,4,1,0,4,4,NA,NA,2,2,28,2,4,NA,"1",1,1,2,1
44,2,2,"never_smoker",13,1,1,4,4,1,4,NA,NA,96,1,1,12,44,44,44,2,1,1,4,4,1,4,4,NA,NA,1,12,96,1,6,NA,"1",2,2,7,2
25,2,2,"never_smoker",17,2,2,4,5,NA,5,NA,NA,12,1,2,11,25,25,25,2,2,2,4,5,NA,5,5,NA,NA,2,11,12,2,4,NA,"1",2,1,20,2
26,1,2,"never_smoker",17,1,1,4,2,NA,7,NA,NA,100,1,2,33,26,26,26,1,1,1,4,2,NA,7,7,NA,NA,2,33,100,2,6,NA,"1",2,2,10,-1
37,2,2,"never_smoker",15,1,1,4,2,1,5,NA,NA,52,1,2,6.71428571428571,37,37,37,2,1,1,4,2,1,5,5,NA,NA,1,6,52,2,3,NA,"0",2,2,0,1
39,1,2,"never_smoker",15,1,1,4,2,NA,6,NA,NA,65,1,2,0.142857142857143,39,39,39,1,1,1,4,2,NA,6,6,NA,NA,2,0,65,2,6,NA,"0",1,2,5,2
41,2,1,"never_smoker",15,1,1,4,2,NA,5,NA,NA,32,1,2,0.857142857142857,41,41,41,2,1,1,4,2,NA,5,5,NA,NA,2,0,32,2,6,NA,"1",2,1,9,-1
43,1,1,"never_smoker",13,2,1,4,2,NA,8,NA,NA,86,1,1,17.1428571428571,43,43,43,1,2,1,4,2,NA,8,8,NA,NA,1,17,86,1,4,NA,"1",2,2,2,-1
48,2,1,"never_smoker",13,1,1,4,2,NA,8,NA,NA,72,1,2,17.8571428571429,48,48,48,2,1,1,4,2,NA,8,8,NA,NA,2,17,72,2,1,NA,"0",1,2,8,-1
58,2,1,"never_smoker",11,7,1,4,2,0,1,NA,NA,210,1,2,10,58,58,58,2,7,1,4,2,0,1,1,NA,NA,1,10,210,2,4,NA,"0",2,1,5,-1
67,1,1,"smoker",9,5,3,4,1,NA,7,NA,NA,10,1,1,20,67,67,67,1,5,3,4,1,NA,7,7,NA,NA,1,20,10,1,6,NA,"1",1,2,1,2
61,2,1,"smoker",11,4,1,4,1,0,7,NA,NA,29,2,1,13.3333333333333,61,61,61,2,4,1,4,1,0,7,7,NA,NA,1,13,29,1,2,NA,"1",1,2,5,-1
38,1,1,"never_smoker",15,1,2,4,2,NA,12,NA,NA,29,1,2,24,38,38,38,1,1,2,4,2,NA,12,12,NA,NA,2,24,29,2,6,NA,"1",1,2,8,2
69,1,1,"smoker",9,3,3,4,1,NA,11,NA,NA,46,2,1,28,69,69,69,1,3,3,4,1,NA,11,11,NA,NA,2,28,46,1,4,NA,"1",2,2,6,1
77,1,1,"never_smoker",7,2,1,4,1,0,9,NA,NA,33,2,2,60,77,77,77,1,2,1,4,1,0,9,9,NA,NA,1,60,33,2,6,NA,"1",2,1,3,2
71,2,1,"never_smoker",9,7,2,4,1,0,12,NA,NA,56,1,1,0.2,71,71,71,2,7,2,4,1,0,12,12,NA,NA,1,0,56,1,4,NA,"1",1,1,12,2
64,1,3,"smoker",9,7,2,6,2,NA,12,NA,NA,19,1,1,11,64,64,64,1,7,2,6,2,NA,12,12,NA,NA,2,11,19,1,5,NA,"1",2,2,2,1
30,2,5,"never_smoker",17,1,1,6,2,0,4,NA,NA,-1,2,2,33,30,30,30,2,1,1,6,2,0,4,4,NA,NA,1,33,-1,2,2,NA,"0",2,2,1,-1
33,1,5,"never_smoker",15,1,2,6,2,NA,4,NA,NA,175,2,2,100,33,33,33,1,1,2,6,2,NA,4,4,NA,NA,2,100,175,2,1,NA,"1",1,2,12,2
59,2,3,"never_smoker",11,1,1,6,1,0,4,NA,NA,-1,1,1,40,59,59,59,2,1,1,6,1,0,4,4,NA,NA,1,40,-1,1,1,NA,"1",2,1,5,1
73,1,5,"smoker",7,7,3,6,4,1,2,NA,NA,120,1,1,0.285714285714286,73,73,73,1,7,3,6,4,1,2,2,NA,NA,2,0,120,1,5,NA,"1",1,1,3,2
47,2,4,"smoker",13,1,2,6,4,NA,9,NA,NA,76,1,2,0.333333333333333,47,47,47,2,1,2,6,4,NA,9,9,NA,NA,1,0,76,2,4,NA,"0",2,1,9,1
37,2,3,"smoker",15,4,3,6,4,0,5,NA,NA,2,1,1,2,37,37,37,2,4,3,6,4,0,5,5,NA,NA,2,2,2,1,5,NA,"1",2,2,4,-1
20,1,3,"smoker",19,5,3,6,4,NA,5,NA,NA,41,2,2,0.428571428571429,20,20,20,1,5,3,6,4,NA,5,5,NA,NA,1,0,41,2,1,NA,"1",2,2,4,2
18,1,3,"smoker",19,2,99,6,4,NA,5,NA,NA,47,1,2,0.571428571428571,18,18,18,1,2,99,6,4,NA,5,5,NA,NA,1,0,47,2,2,NA,"0",1,2,6,2
41,2,4,"smoker",15,7,NA,6,4,0,8,NA,NA,80,1,1,4,41,41,41,2,7,NA,6,4,0,8,8,NA,NA,2,4,80,1,3,NA,"0",2,2,9,-1
22,1,4,"smoker",18,3,99,6,4,1,4,NA,NA,96,2,1,0,22,22,22,1,3,99,6,4,1,4,4,NA,NA,2,0,96,1,1,NA,"0",1,2,8,2
20,2,4,"smoker",19,3,3,6,4,1,4,NA,NA,40,2,2,24,20,20,20,2,3,3,6,4,1,4,4,NA,NA,1,24,40,2,6,NA,"1",1,1,9,1
44,1,4,"smoker",13,4,2,6,2,NA,8,NA,NA,9,1,1,2.28571428571429,44,44,44,1,4,2,6,2,NA,8,8,NA,NA,2,2,9,1,4,NA,"0",2,2,52,2
24,2,4,"smoker",17,4,2,6,4,1,4,NA,NA,57,2,1,26,24,24,24,2,4,2,6,4,1,4,4,NA,NA,2,26,57,1,5,NA,"1",1,1,5,2
65,1,4,"never_smoker",9,4,1,4,1,0,7,NA,NA,38,1,2,57.1428571428571,65,65,65,1,4,1,4,1,0,7,7,NA,NA,1,57,38,2,6,NA,"0",2,1,7,2
65,2,4,"smoker",9,3,3,4,1,0,7,NA,NA,36,2,1,30,65,65,65,2,3,3,4,1,0,7,7,NA,NA,2,30,36,1,4,NA,"1",2,2,6,2
45,1,3,"never_smoker",13,3,1,4,2,0,8,NA,NA,175,1,1,8,45,45,45,1,3,1,4,2,0,8,8,NA,NA,2,8,175,1,5,NA,"1",1,2,8,1
50,2,3,"smoker",13,4,3,4,2,0,5,NA,NA,31,1,2,0.333333333333333,50,50,50,2,4,3,4,2,0,5,5,NA,NA,1,0,31,2,4,NA,"1",1,1,12,2
54,1,3,"smoker",11,3,2,4,2,NA,4,NA,NA,23,1,2,2.85714285714286,54,54,54,1,3,2,4,2,NA,4,4,NA,NA,2,2,23,2,3,NA,"1",1,1,10,-1
53,2,4,"never_smoker",11,1,1,4,2,0,6,NA,NA,7,2,1,0,53,53,53,2,1,1,4,2,0,6,6,NA,NA,2,0,7,1,6,NA,"0",2,1,5,1
22,1,4,"smoker",18,2,3,4,2,NA,9,NA,NA,35,1,2,80,22,22,22,1,2,3,4,2,NA,9,9,NA,NA,1,80,35,2,1,NA,"0",2,2,20,-1
51,2,3,"never_smoker",13,2,1,4,1,NA,8,NA,NA,48,1,1,8,51,51,51,2,2,1,4,1,NA,8,8,NA,NA,2,8,48,1,4,NA,"0",2,1,7,-1
53,1,3,"never_smoker",11,5,2,4,1,NA,8,NA,NA,27,1,1,45,53,53,53,1,5,2,4,1,NA,8,8,NA,NA,2,45,27,1,2,NA,"0",1,2,3,2
23,1,3,"smoker",17,2,2,4,1,NA,8,NA,NA,17,1,1,1.71428571428571,23,23,23,1,2,2,4,1,NA,8,8,NA,NA,1,1,17,1,6,NA,"0",2,1,20,1
24,2,3,"smoker",17,4,3,4,4,NA,9,NA,NA,56,1,2,7,24,24,24,2,4,3,4,4,NA,9,9,NA,NA,1,7,56,2,2,NA,"0",2,1,7,1
29,1,3,"smoker",17,7,3,4,4,NA,5,NA,NA,49,1,1,25,29,29,29,1,7,3,4,4,NA,5,5,NA,NA,1,25,49,1,6,NA,"0",1,1,5,2
78,2,3,"never_smoker",7,6,2,4,1,0,2,NA,NA,41,2,1,0.0666666666666667,78,78,78,2,6,2,4,1,0,2,2,NA,NA,1,0,41,1,2,NA,"0",1,2,7,2
77,1,3,"never_smoker",7,4,2,4,1,0,2,NA,NA,22,1,1,4,77,77,77,1,4,2,4,1,0,2,2,NA,NA,2,4,22,1,4,NA,"0",1,1,0,1
54,2,3,"smoker",11,3,1,4,2,NA,4,NA,NA,96,1,2,30,54,54,54,2,3,1,4,2,NA,4,4,NA,NA,2,30,96,2,1,NA,"1",1,1,5,2
49,2,3,"never_smoker",13,4,1,4,4,NA,6,NA,NA,23,2,1,6.71428571428571,49,49,49,2,4,1,4,4,NA,6,6,NA,NA,1,6,23,1,2,NA,"1",2,1,12,-1
43,2,1,"never_smoker",13,1,2,2,2,NA,5,NA,NA,45,2,2,5.71428571428571,43,43,43,2,1,2,2,2,NA,5,5,NA,NA,2,5,45,2,4,NA,"1",1,2,7,2
52,1,1,"never_smoker",12,3,3,2,2,NA,4,NA,NA,63,2,2,10.7142857142857,52,52,52,1,3,3,2,2,NA,4,4,NA,NA,2,10,63,2,2,NA,"0",2,2,9,2
46,1,1,"never_smoker",13,3,1,2,2,0,1,NA,NA,46,2,2,100,46,46,46,1,3,1,2,2,0,1,1,NA,NA,1,100,46,2,2,NA,"0",1,2,1,2
55,2,1,"never_smoker",11,4,99,2,2,NA,4,NA,NA,65,1,2,25,55,55,55,2,4,99,2,2,NA,4,4,NA,NA,2,25,65,2,6,NA,"1",2,1,12,2
66,1,1,"never_smoker",9,2,1,2,1,NA,NA,NA,NA,4,2,1,0.142857142857143,66,66,66,1,2,1,2,1,NA,NA,NA,NA,NA,2,0,4,1,1,NA,"0",2,1,52,-1
69,2,1,"never_smoker",9,3,2,2,1,0,NA,NA,NA,175,2,2,8,69,69,69,2,3,2,2,1,0,NA,NA,NA,NA,1,8,175,2,2,NA,"0",1,1,4,2
42,1,1,"smoker",14,4,3,2,4,NA,9,NA,NA,38,1,1,4.28571428571429,42,42,42,1,4,3,2,4,NA,9,9,NA,NA,2,4,38,1,4,NA,"1",2,1,7,-1
50,2,1,"never_smoker",13,1,1,2,1,0,8,NA,NA,34,2,2,4.28571428571429,50,50,50,2,1,1,2,1,0,8,8,NA,NA,2,4,34,2,4,NA,"1",1,1,10,2
42,1,1,"never_smoker",14,1,2,2,2,NA,5,NA,NA,38,1,1,0,42,42,42,1,1,2,2,2,NA,5,5,NA,NA,1,0,38,1,3,NA,"0",2,1,6,2
39,2,1,"smoker",15,1,2,2,2,NA,4,NA,NA,29,2,2,20,39,39,39,2,1,2,2,2,NA,4,4,NA,NA,1,20,29,2,5,NA,"0",1,2,0,2
18,2,1,"never_smoker",19,3,3,2,2,NA,5,NA,NA,15,1,2,2.42857142857143,18,18,18,2,3,3,2,2,NA,5,5,NA,NA,2,2,15,2,2,NA,"1",2,2,2,1
36,1,1,"never_smoker",15,1,1,2,2,NA,12,NA,NA,11,2,2,1.71428571428571,36,36,36,1,1,1,2,2,NA,12,12,NA,NA,2,1,11,2,4,NA,"1",1,1,52,2
31,2,1,"never_smoker",17,1,1,2,2,NA,10,NA,NA,9,2,2,2.57142857142857,31,31,31,2,1,1,2,2,NA,10,10,NA,NA,1,2,9,2,6,NA,"1",1,1,1,-1
49,2,1,"never_smoker",13,2,3,2,2,0,6,NA,NA,19,2,1,11,49,49,49,2,2,3,2,2,0,6,6,NA,NA,2,11,19,1,6,NA,"0",2,1,9,1
62,2,3,"never_smoker",10,1,1,2,2,NA,5,NA,NA,9998,1,1,9,62,62,62,2,1,1,2,2,NA,5,5,NA,NA,2,9,9998,1,3,NA,"1",1,2,9,-1
58,1,3,"smoker",11,7,NA,2,4,0,12,NA,NA,70,2,2,60,58,58,58,1,7,NA,2,4,0,12,12,NA,NA,2,60,70,2,5,NA,"1",1,1,2,-1
58,2,3,"never_smoker",11,7,3,2,4,0,3,NA,NA,100,2,2,0.428571428571429,58,58,58,2,7,3,2,4,0,3,3,NA,NA,2,0,100,2,5,NA,"0",1,2,10,1
49,1,1,"never_smoker",13,1,1,2,2,NA,12,NA,NA,24,1,1,0.666666666666667,49,49,49,1,1,1,2,2,NA,12,12,NA,NA,1,0,24,1,5,NA,"0",1,2,5,2
29,1,4,"smoker",17,4,2,2,1,NA,4,NA,NA,60,2,2,0.666666666666667,29,29,29,1,4,2,2,1,NA,4,4,NA,NA,1,0,60,2,4,NA,"0",1,1,8,-1
63,2,2,"never_smoker",9,2,2,9,4,NA,7,NA,NA,47,2,1,60,63,63,63,2,2,2,9,4,NA,7,7,NA,NA,1,60,47,1,3,NA,"0",1,2,20,-1
51,1,3,"never_smoker",13,4,3,9,2,0,5,NA,NA,2,2,2,57.1428571428571,51,51,51,1,4,3,9,2,0,5,5,NA,NA,1,57,2,2,4,NA,"1",1,1,52,-1
77,2,2,"never_smoker",7,7,3,9,4,0,7,NA,NA,54,1,2,28.5714285714286,77,77,77,2,7,3,9,4,0,7,7,NA,NA,1,28,54,2,6,NA,"1",1,1,20,-1
66,1,2,"never_smoker",9,1,1,9,1,NA,9,NA,NA,19,1,1,17,66,66,66,1,1,1,9,1,NA,9,9,NA,NA,2,17,19,1,6,NA,"1",1,1,0,2
48,1,3,"never_smoker",13,7,2,9,4,NA,9,NA,NA,35,2,1,3.33333333333333,48,48,48,1,7,2,9,4,NA,9,9,NA,NA,1,3,35,1,4,NA,"1",2,1,9,-1
50,1,2,"never_smoker",13,2,1,9,2,NA,5,NA,NA,80,1,1,2.85714285714286,50,50,50,1,2,1,9,2,NA,5,5,NA,NA,1,2,80,1,3,NA,"1",2,2,4,-1
52,2,2,"never_smoker",12,1,1,9,2,NA,5,NA,NA,32,2,1,14.2857142857143,52,52,52,2,1,1,9,2,NA,5,5,NA,NA,1,14,32,1,2,NA,"0",2,1,1,1
17,2,2,"never_smoker",19,4,3,9,2,NA,5,NA,NA,2,2,2,40,17,17,17,2,4,3,9,2,NA,5,5,NA,NA,1,40,2,2,1,NA,"0",2,2,7,1
40,2,2,"never_smoker",15,1,2,7,4,NA,1,NA,NA,6,2,1,16,40,40,40,2,1,2,7,4,NA,1,1,NA,NA,2,16,6,1,5,NA,"0",2,2,1,1
36,2,4,"smoker",15,1,3,7,4,NA,5,NA,NA,25,2,2,9,36,36,36,2,1,3,7,4,NA,5,5,NA,NA,2,9,25,2,5,NA,"0",2,1,1,-1
76,2,4,"smoker",7,7,3,7,4,0,2,NA,NA,96,1,2,8,76,76,76,2,7,3,7,4,0,2,2,NA,NA,1,8,96,2,3,NA,"1",2,2,7,-1
21,1,4,"never_smoker",19,1,1,7,4,NA,12,NA,NA,22,2,2,39,21,21,21,1,1,1,7,4,NA,12,12,NA,NA,2,39,22,2,5,NA,"1",2,1,12,1
66,1,4,"never_smoker",9,7,1,7,4,0,6,NA,NA,23,2,2,16,66,66,66,1,7,1,7,4,0,6,6,NA,NA,1,16,23,2,3,NA,"1",1,2,5,2
47,1,4,"smoker",13,3,3,7,4,1,2,NA,NA,15,2,2,11,47,47,47,1,3,3,7,4,1,2,2,NA,NA,2,11,15,2,4,NA,"1",1,1,20,1
73,2,3,"never_smoker",7,2,1,8,1,0,2,NA,NA,4,2,1,3.42857142857143,73,73,73,2,2,1,8,1,0,2,2,NA,NA,1,3,4,1,4,NA,"0",2,2,12,1
41,1,1,"never_smoker",15,1,1,8,2,0,1,NA,NA,1,1,2,1.14285714285714,41,41,41,1,1,1,8,2,0,1,1,NA,NA,2,1,1,2,6,NA,"0",1,2,10,-1
43,2,1,"never_smoker",13,1,1,8,2,0,4,NA,NA,70,1,1,2.42857142857143,43,43,43,2,1,1,8,2,0,4,4,NA,NA,2,2,70,1,4,NA,"0",2,1,20,-1
22,2,3,"never_smoker",18,3,2,8,2,NA,8,NA,NA,42,2,2,0.285714285714286,22,22,22,2,3,2,8,2,NA,8,8,NA,NA,2,0,42,2,3,NA,"1",1,1,9,1
50,2,3,"smoker",13,4,3,8,4,0,2,NA,NA,21,2,2,0.714285714285714,50,50,50,2,4,3,8,4,0,2,2,NA,NA,2,0,21,2,6,NA,"1",1,2,10,-1
56,1,1,"never_smoker",11,4,2,8,2,NA,9,NA,NA,105,1,1,1.14285714285714,56,56,56,1,4,2,8,2,NA,9,9,NA,NA,2,1,105,1,6,NA,"1",2,1,7,2
31,2,1,"smoker",17,1,1,8,2,1,9,NA,NA,-1,2,1,11.4285714285714,31,31,31,2,1,1,8,2,1,9,9,NA,NA,1,11,-1,1,1,NA,"1",1,2,6,1
56,2,3,"never_smoker",11,4,1,8,1,0,1,NA,NA,160,1,1,0.571428571428571,56,56,56,2,4,1,8,1,0,1,1,NA,NA,1,0,160,1,3,NA,"1",1,1,4,1
20,1,3,"never_smoker",19,2,3,8,1,NA,5,NA,NA,33,1,1,13,20,20,20,1,2,3,8,1,NA,5,5,NA,NA,2,13,33,1,5,NA,"0",2,1,1,1
31,1,3,"smoker",17,4,3,8,4,NA,8,NA,NA,36,2,1,0.285714285714286,31,31,31,1,4,3,8,4,NA,8,8,NA,NA,2,0,36,1,2,NA,"0",1,1,1,1
42,2,3,"never_smoker",14,3,1,8,2,NA,7,NA,NA,70,1,2,10,42,42,42,2,3,1,8,2,NA,7,7,NA,NA,1,10,70,2,6,NA,"0",1,2,9,1
63,2,2,"smoker",9,1,1,8,4,0,12,NA,NA,14,1,1,17,63,63,63,2,1,1,8,4,0,12,12,NA,NA,1,17,14,1,5,NA,"0",2,2,10,-1
40,2,2,"never_smoker",15,3,3,8,4,NA,5,NA,NA,20,1,1,1.71428571428571,40,40,40,2,3,3,8,4,NA,5,5,NA,NA,2,1,20,1,2,NA,"0",2,2,6,1
64,1,3,"never_smoker",9,1,1,8,1,0,12,NA,NA,175,1,1,7,64,64,64,1,1,1,8,1,0,12,12,NA,NA,1,7,175,1,4,NA,"0",2,2,12,2
28,2,2,"never_smoker",17,4,2,8,4,0,4,NA,NA,72,2,2,55,28,28,28,2,4,2,8,4,0,4,4,NA,NA,1,55,72,2,1,NA,"1",1,1,20,1
66,2,2,"never_smoker",9,1,3,8,2,0,6,NA,NA,43,1,2,2,66,66,66,2,1,3,8,2,0,6,6,NA,NA,1,2,43,2,1,NA,"0",1,1,1,2
33,1,3,"smoker",15,2,1,7,4,NA,9,NA,NA,8,2,1,6,33,33,33,1,2,1,7,4,NA,9,9,NA,NA,1,6,8,1,1,NA,"1",2,1,0,2
31,1,2,"smoker",17,1,1,7,4,NA,8,NA,NA,63,2,2,3.42857142857143,31,31,31,1,1,1,7,4,NA,8,8,NA,NA,2,3,63,2,4,NA,"1",1,1,20,2
38,2,4,"never_smoker",15,1,1,7,2,0,10,NA,NA,31,1,2,0.714285714285714,38,38,38,2,1,1,7,2,0,10,10,NA,NA,1,0,31,2,1,NA,"1",2,1,4,1
54,2,2,"never_smoker",11,1,1,2,2,NA,1,NA,NA,46,1,2,33,54,54,54,2,1,1,2,2,NA,1,1,NA,NA,1,33,46,2,4,NA,"0",2,2,6,1
24,2,2,"never_smoker",17,1,1,2,2,NA,1,NA,NA,60,2,2,60,24,24,24,2,1,1,2,2,NA,1,1,NA,NA,1,60,60,2,3,NA,"0",1,1,6,2
65,1,1,"never_smoker",9,7,2,2,2,NA,6,NA,NA,84,2,2,5,65,65,65,1,7,2,2,2,NA,6,6,NA,NA,2,5,84,2,1,NA,"1",2,1,1,-1
59,1,2,"smoker",11,2,1,2,2,NA,6,NA,NA,130,2,1,24,59,59,59,1,2,1,2,2,NA,6,6,NA,NA,2,24,130,1,2,NA,"1",2,1,10,2
60,2,2,"never_smoker",11,1,1,2,2,NA,4,NA,NA,56,1,2,14,60,60,60,2,1,1,2,2,NA,4,4,NA,NA,2,14,56,2,3,NA,"0",1,2,6,1
31,1,2,"never_smoker",17,4,1,2,2,NA,5,NA,NA,175,1,2,0.428571428571429,31,31,31,1,4,1,2,2,NA,5,5,NA,NA,1,0,175,2,1,NA,"1",2,1,4,-1
27,2,2,"smoker",17,4,2,2,2,NA,8,NA,NA,-1,2,2,2.42857142857143,27,27,27,2,4,2,2,2,NA,8,8,NA,NA,1,2,-1,2,5,NA,"0",1,1,5,-1
47,2,2,"smoker",13,7,2,2,2,NA,1,NA,NA,5,2,2,7,47,47,47,2,7,2,2,2,NA,1,1,NA,NA,1,7,5,2,1,NA,"1",2,2,7,-1
43,1,2,"smoker",13,7,99,2,2,0,1,NA,NA,38,2,2,0.0666666666666667,43,43,43,1,7,99,2,2,0,1,1,NA,NA,1,0,38,2,2,NA,"1",2,1,1,2
18,1,2,"smoker",19,5,2,2,2,NA,6,NA,NA,24,2,1,24,18,18,18,1,5,2,2,2,NA,6,6,NA,NA,2,24,24,1,2,NA,"1",2,2,4,-1
57,1,1,"never_smoker",11,2,2,2,1,NA,4,NA,NA,15,2,2,3,57,57,57,1,2,2,2,1,NA,4,4,NA,NA,2,3,15,2,6,NA,"1",1,1,1,-1
46,2,1,"never_smoker",13,3,2,2,2,NA,9,NA,NA,76,1,1,8,46,46,46,2,3,2,2,2,NA,9,9,NA,NA,2,8,76,1,1,NA,"0",2,1,1,1
54,2,2,"smoker",11,2,1,8,2,0,9,NA,NA,76,1,1,1.14285714285714,54,54,54,2,2,1,8,2,0,9,9,NA,NA,2,1,76,1,2,NA,"0",1,2,5,-1
66,1,2,"smoker",9,1,1,8,2,0,9,NA,NA,31,2,2,0.571428571428571,66,66,66,1,1,1,8,2,0,9,9,NA,NA,1,0,31,2,4,NA,"1",2,1,9,2
62,2,2,"never_smoker",10,4,2,8,1,NA,9,NA,NA,6,1,2,10,62,62,62,2,4,2,8,1,NA,9,9,NA,NA,2,10,6,2,1,NA,"0",2,2,3,-1
37,1,2,"never_smoker",15,2,1,8,2,NA,11,NA,NA,57,2,2,14.2857142857143,37,37,37,1,2,1,8,2,NA,11,11,NA,NA,2,14,57,2,4,NA,"0",1,2,7,-1
42,2,2,"smoker",14,4,2,8,2,0,7,NA,NA,80,2,1,0,42,42,42,2,4,2,8,2,0,7,7,NA,NA,2,0,80,1,4,NA,"0",1,2,9,2
70,2,2,"never_smoker",9,3,2,8,1,0,7,NA,NA,31,2,2,13,70,70,70,2,3,2,8,1,0,7,7,NA,NA,1,13,31,2,1,NA,"1",2,2,10,2
72,1,2,"never_smoker",8,1,1,8,1,0,11,NA,NA,43,2,1,2.14285714285714,72,72,72,1,1,1,8,1,0,11,11,NA,NA,1,2,43,1,3,NA,"0",1,2,9,2
67,1,2,"smoker",9,3,1,2,1,0,11,NA,NA,32,2,2,30,67,67,67,1,3,1,2,1,0,11,11,NA,NA,1,30,32,2,2,NA,"1",1,2,1,1
65,2,2,"never_smoker",9,7,1,2,1,0,4,NA,NA,46,2,1,11.4285714285714,65,65,65,2,7,1,2,1,0,4,4,NA,NA,1,11,46,1,1,NA,"0",1,2,9,-1
78,1,2,"never_smoker",7,2,2,2,1,NA,8,NA,NA,42,2,2,39,78,78,78,1,2,2,2,1,NA,8,8,NA,NA,1,39,42,2,1,NA,"1",2,1,7,2
72,2,2,"smoker",8,6,2,2,1,NA,8,NA,NA,77,2,2,1.71428571428571,72,72,72,2,6,2,2,1,NA,8,8,NA,NA,2,1,77,2,4,NA,"0",1,2,2,1
46,1,3,"never_smoker",13,5,1,2,2,NA,7,NA,NA,31,2,1,2.14285714285714,46,46,46,1,5,1,2,2,NA,7,7,NA,NA,2,2,31,1,2,NA,"0",1,1,20,1
